element	sub_element	const_type	na	ab	bc	cd	de
"External Walls, Windows and Doors"	Walls - External finishes	FLAT FIBREGLASS / GRP / PLASTIC / COMPOSITE IN SHEET	0.5	0.08	0.10667	0.16	0.32
"External Walls, Windows and Doors"	WINDOWS AND DOORS	PLASTIC	0.5	0.1	0.13333	0.2	0.4
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	FIBREBOARD / ACOUSTIC LINING	0.5	0.07123	0.09497	0.14245	0.2849
ELECTRICAL SERVICES	ELECTRICAL SERVICES	ELECTRICAL SERVICES	0.5	0.09954	0.13271	0.19907	0.39814
"External Walls, Windows and Doors"	Walls - External finishes	No Wall Finish/ Exposed Structure	0.5	0.03636	0.04848	0.07273	0.14545
Redecorations	External - walls	Unpainted	0.5	0.03636	0.04848	0.07273	0.14545
Internal Walls and Doors	Walls and partitions finishes	No Internal Wall Finish/Exposed Structure	0.5	0.05	0.06667	0.1	0.2
Ceilings	Generally	No Ceiling/ Exposed Structure	0.5	0.1	0.2	0.2	0.2
Roofs	Coverings and insulation	Pitched roof - Natural slates	0.5	0.04	0.04	0.06667	0.2
Redecorations	Internal - walls	Unpainted	0.5	0.05	0.06667	0.1	0.2
Ceilings	Generally	Suspended rafts below fair faced / plaster soffit	0.5	0.06667	0.1	0.1	0.2
Roofs	Drainage	Flat roof - Fibre cement	0.5	0.06667	0.1	0.2	0.2
Roofs	Coverings and insulation	Flat roof - Green roof	0.5	0.08	0.08	0.08	0.08
Roofs	Drainage	Pitched roof - Fibre Cement	0.5	0.06667	0.1	0.2	0.2
Mechanical Services	Mechanical ventilation / air conditioning	No mechanical ventilation or air conditioning	0.5	0.11364	0.15152	0.22727	0.45455
Redecorations	Internal - ceilings	Unpainted	0.5	0.21368	0.2849	0.42735	0.8547
"External Walls, Windows and Doors"	Walls – Internal finishes	No Internal Wall Finish/Exposed Structure	0.5	0.05	0.06667	0.1	0.2
Redecorations	"External - windows, doors, etc."	Metal - painted	0.5	0.04	0.06667	0.16	0.26667
